7185	9259	A' ni ɲantuma.	Bonjour.
9351	19481	Farafinna cɛ ani farafinna muso, denmisɛn ni maakɔrɔba, n ka foli bɛ bɛɛ lajɛlen ye.	Les hommes, femmes, enfants et adultes d'Afrique, je vous salue tous.
19633	23466	An bɛna don baro la.	On va commencer la causerie.
23666	29966	An bɛna don baro min na, Ala k'a faamuyali ɲuman di an ma.	La causerie qu'on va commencer, que Dieu nous donne une bonne compréhension.
30099	37500	Masakɛ dɔ sigilen bɛ, a ka kɛlɛkɛdenw bɛka tɛmɛ.	Un roi était assis, ses guerriers étaient en train de passer.
37666	43766	Kɛlɛkɛdenw tɛmɛtɔ, u taara se dugu dɔ la.	En passant, ils sont arrivés dans un village.
43966	46500	U ye npogotiginin dɔ sigilen sɔrɔ.	Ils ont vu une fille assise.
46600	54466	Kɛlɛkɛcɛw ye npogotiginin ta ka n'a di u ka masakɛ ma.	Ils ont amené la fille à leur roi.
54633	59799	Masakɛ sigilen b'a ka sigida la.	Le roi est assis dans son environnement.
60033	63466	Masake muso fɔlɔ be yen.	Il y a la première femme du roi.
63699	66300	Ala ma den don o garijɛgɛ la.	Celle-ci n'a pas eu d'enfant.
66533	69433	A sera a cɛ ma.	Elle est venue vers son mari.
69500	79466	A ko ne furu ni n kanu, i ye den min sɔrɔ i t'a di ne ma n ka ɲɛnajɛ n'a ye.	Elle a dit : mon mari et mon amour, peux-tu me donner la fille que tu as eue, je vais jouer avec elle.
79666	82233	Ala ma den don ne garijɛgɛ la.	Je n'ai pas eu d'enfant.
82433	86600	Masakɛ muso tɔgɔ ye ko Sunba.	L'épouse du roi s'appelle Soumba.
86833	93633	Masake ye den ta k'a di Sunba ma.	Le roi a donné l'enfant à Soumba.
93866	97700	Sunba ye den minɛ.	Soumba a pris l'enfant.
97933	102799	Masakaɛ nana den tɔgɔ da ko Ɲamankolon.	Le roi a baptisé la fille : Gnamankolon.
103099	106766	A ye den tɔgɔ da Ɲamankolon na.	Il a donné le nom Gnamankolon à l'enfant.
106966	109266	Ɲamankolon b'a bolo.	Il a Gnamankolon.
109433	119966	Masakɛ muso Sunba ye Ɲamankolon ladon, ka na Ɲamankolon se npogotigiya ma.	La femme du roi, Soumba, a adopté la fille jusqu'à ce qu'elle devienne une demoiselle.
120099	128733	Ɲamankolon sera npogotigiya ma k'a sɔrɔ a t'a dɔn k'a woloba tɛ Sunba ye.	Gnamankolon est devenue une demoiselle sans se rendre compte que Soumba n'était pas sa mère biologique.
130433	137866	Ɲamankolon bɛ Sunba bolo, ni Sunba bɛ taa u ka dugu la, a bɛ Taa ni Ɲamankolon ye a fɛ.	Gnamankolon est avec Soumba, quand Soumba part dans son village, elle emmène Gnamankolon.
138000	141200	A ye Ɲamankolon don kalan na.	Elle a inscrit Gnamankolo à l'école.
141333	149800	Ɲamankolon bɛ kilasi saba la tuma min na, a t'a dɔn ko Sunba t'a ba ye.	Quand Gnamankolon  faisait la troisième année, elle ne savait pas que Soumba n'était pas sa mère.
150100	156766	Fo Ɲamankolon ye marakakan mɛn.	Gnamankolon a finalement appris la langue soninké.
157000	159933	A ye marakakan fɔ.	Elle parlait soninké.
160066	166233	Nka Sunba t'a dɔn ko Ɲamankolon bɛ marakakan mɛn.	Mais Soumba ignore que Gnamankolo comprend la langue soninké.
166366	170033	I y'a dɔn denmisɛnnin da yɛlɛma ka teli?	C'est facile pour les enfants de parler une langue.
170200	174100	N'i taara dugu min na i b'o de kan fɔ.	Tu parles la langue du village dans lequel tu es.
174233	177633	Sunba kɔni sigilen don.	Soumba est assise.
177866	180200	Ɲamankolon bɛtaa kalanyɔrɔ la.	Gnamankolon part à l'école.
180366	183633	Kalan mana jigin, a bɛ na.	À la descente de l'école, elle revient.
183800	191500	Sunba be Ɲamankolon bila ka: minɛn nɔgɔw ko, ɲɔ susu, ji ta.	Soumba, elle commissionne Gnamankolon à laver les ustensiles, apporter de l'eau, et piler le mil.
195500	196500	I y'a faamuya?	As-tu compris?
196800	204166	Don dɔ la kalan jiginnen, Ɲamnkolon nana tuguni.	Un jour, à la descente de l'école, Gnamankolon est venu.
204300	211799	Ɲamankolon nana sɔrɔ Sunba n'a teriw sigilen be baro la.	Gnamankolon est venue trouver Soumba et ses amies en train de causer.
211899	214966	Ɲamankolo y'a ka minen bila.	Gnamankolon a déposé des affaires.
215499	220199	Kalan bilalen sisan, a y'a ka minɛnw bila.	À la descente de l'école, elle dépose ses affaires.
220333	227166	Sunba teriw ko Sunba ma, ko nin npogotigi in dun?	Les amies de Soumba lui ont posé la question concernant la demoiselle.
227333	230933	Olu dun b'a dɔn ko Sunba ma den sɔrɔ.	Elles savent que Soumba n'a pas eu d'enfant.
233133	235599	I ye kuma faamuya wa?	As-tu compris la parole?
235966	241466	Sunba fana ko marakakan na k'a ba sara.	Soumba a dit en soninké que sa mère est morte.
241766	246766	Nka Sunba t'a dɔn ko Ɲamankolon bɛ marakakan mɛn.	Soumba ignorait que Gnamankolon comprenait le soninké.
249033	254099	Ɲamankolon sigilen de tora ten.	Gnamankolon est resté assise.
254299	258833	Ɲamankolon ko aa, jaa ne yɛrɛ ba bannen don ne to dɔn.	Elle a dit, ma mère est morte, mais je ne sais pas!
259199	268100	A y'a dɔn k'ale ba tɛ Sunba ye nka mara taabolo la, a m'a jira Sunba la.	Elle a su que Soumba n'était pas sa mère biologique, mais à cause de son éducation, elle ne l'a pas dit.
268300	270900	U tora u cogo la.	Elles sont restées comme ça.
271300	272300	I y'a faamuya?	As-tu compris?
272600	276500	O ye an ka fɔlɔ mara taabolo ye.	L'éducation marchait comme ça chez nous auparavant.
276733	281500	I bɛ den mara, den b'a yɛrɛ mara.	Tu éduques l'enfant, l'enfant s'éduque lui-même.
281900	283133	I y'a faamuya?	As-tu compris?
283466	286400	Fo ka n'a ke kalan bilara.	L'école est terminée.
288266	305933	An ka laada la, ni sunkalo sera tile tan ma, musomannin bɛ ji ta ka filen biri o sanfɛ ka taa ɲɛnajɛ kɛ.	Dans notre tradition, quand le mois de ramadan atteint 10 jours, les filles ont des calebasses fermées au-dessus de l'eau.
306300	311733	Sunkalo tile tan don, u bɛ taa salawaale waale kɛ.	Le dixième jour du ramadan, ils font "Salawaale waale".
311900	317600	O kɔnɔna na, dɔw bɛ ɲɔ di, dɔw bɛ wari di.	Durant cet évènement, il y en a qui donnent de l'argent, d'autres donnent du mil.
317900	321466	Cɛmisɛnninw fana be taa yaala, olu ta ye Yogoro ye.	Les garçons se promène, pour eux, c'est Yogoro.
321700	324100	U bɛ fɛn munmun u fari la.	Ils mettent des trucs sur leur corps.
324333	328533	U mana npogotiginin min sɔrɔ, u boli o kɔ k'o ka wari minɛ.	Ils courent derrière les filles pour prendre leur argent.
328800	331533	O tun ye fɔlɔ tile taabolo ye.	C'était la manière auparavant.
331800	332800	I y'a faamuya?	Tu as compris?
333000	340233	Ɲamankolon tora o la, a n'a tɔɲɔgɔnninw bɛ ta jidununfɔw la.	Gnamankolon partait avec ses camarades joué "Jidunun".
340433	353000	Sunkalo mana ban, u be ɲɔ min sɔrɔ, malo, ani wari, Ɲamankolon n'a tɔɲɔgɔnw  be taa ba la.	À la fin du mois de ramadan, Ɲamankolon et ses camarades partent au fleuve avec leur argent, riz, gagnés.
353333	358766	U bɛ ɲɔ ke basi ye.	Elles font le couscous avec le mil.
359000	364200	U bɛ wari kɛ nasɔngɔ ye.	Elles achètent les condiments avec l'argent.
364366	374200	U bɛɛ be dumuni kɛ k'u fa; n'u fara u bɛɛ bɛ lɔgɔma kelen kelen ta ka taa o kɛ ba la k'o ye Bafaro niyɔrɔ ye.	Elles mangent toutes à leur faim, et puis chacune d'elles prend une tartine pour aller jeter dans que c'est la part de la sirène.
374466	377033	I y'a famuya?	Tu as compris?
377233	381633	San mmana yɛlɛma,  o b'a sɔrɔ npogotigi dɔw furula.	Quand le nouvel an commence, certaines demoiselles se marient.
381833	385566	Minnu ma furu, olu fana bɛ tila k'a daminɛ tuguni.	Celles qui ne sont pas mariées recommencent encore.
388566	394100	Ɲamankolon tora o la, fo Ala nan'a kɛ Ɲamankolon yɛrɛ nana cɛ sɔrɔ.	Gnamankolon a finalement eu un mari.
396333	403466	Nka Ɲamankolon be na ce sɔrɔ tu ma min na, a dɔnna de ko a ba sara.	Au moment où elle a eu un mari, ils ont découvert que sa mère était morte.
405466	409699	A y'a sɔrɔ ba in ye musoya taabolo jira  la.	Sa mère lui avait enseigné les choses des femmes.
413199	417533	A ye Ɲamankolon lamɔ.	Elle a éduqué Gnamankolon.
422466	428399	Anw fe lawale la, n'i ka kɔɲɔ bɛ kɛ, i cɛ tɛ jira i la, aw bɛ ɲɔgɔn ye sanke kɔrɔ de.	Auparavant, quand tu te maries chez nous, tu ne verras ton mari que sous la moustiquaire.
428566	430866	O y'an ka mara taabolo ye.	C'est notre éducation.
431133	433666	An bɛɛ marala ten.	On a tous été éduqués comme ça.
433899	437699	Ɲamankolon nana furu.	Gnamankolon a été mariée.
437899	443699	A cɛ y'a sɔrɔ a fade ye.	Elle était vierge.
443833	448066	Baw nisɔndiyara, cɛ yɛrɛ nisɔndiyara.	La mère, le mari, ils étaient tous contents.
450633	453533	Balima bɛɛ nisɔndiyara.	Tous les frères et sœurs étaient contents.
453633	455433	U nana Ɲamankolon sara.	Ils ont payé Gnamankolon.
455599	459633	Ni cɛ y'i sɔrɔ fade ye, a b'a nisɔndiya.	Quand ton mari te trouvera vierge, il sera content.
459733	462966	Ɲamankolon fana y'a denw mara o maracogo la.	Gnamankolon a éduqué ses enfants de cette manière.
464799	471866	A ye mara min kɛ Sunaba bolo, a fana nana denw marar o cogo la.	L'éducation qu'elle a reçu de Soumba, elle a transmis cette même éducation à ses enfants.
